::1 - - [19/Nov/2014:17:37:01 +0100] "GET /project/ HTTP/1.1" 200 638
::1 - - [19/Nov/2014:17:37:03 +0100] "GET /project/bars.html HTTP/1.1" 200 5314
::1 - - [19/Nov/2014:17:42:19 +0100] "GET /project/bars.html HTTP/1.1" 304 -
::1 - - [19/Nov/2014:17:42:19 +0100] "GET /project/cities-geometry.json HTTP/1.1" 304 -
::1 - - [19/Nov/2014:17:42:19 +0100] "GET /project/cities-data.txt HTTP/1.1" 304 -
::1 - - [19/Nov/2014:17:42:26 +0100] "GET /project/click_test.html HTTP/1.1" 200 4860
::1 - - [19/Nov/2014:17:43:29 +0100] "GET /project/click_test.html HTTP/1.1" 200 4866
::1 - - [19/Nov/2014:17:43:29 +0100] "GET /project/cities-geometry.json HTTP/1.1" 304 -
::1 - - [19/Nov/2014:17:43:29 +0100] "GET /project/cities-data.txt HTTP/1.1" 304 -
::1 - - [19/Nov/2014:17:43:47 +0100] "GET /project/click_test.html HTTP/1.1" 200 4573
::1 - - [19/Nov/2014:17:43:47 +0100] "GET /project/cities-geometry.json HTTP/1.1" 304 -
::1 - - [19/Nov/2014:17:43:47 +0100] "GET /project/cities-data.txt HTTP/1.1" 304 -
::1 - - [19/Nov/2014:17:44:21 +0100] "GET /project/click_test.html HTTP/1.1" 200 4571
::1 - - [19/Nov/2014:17:44:21 +0100] "GET /project/cities-geometry.json HTTP/1.1" 304 -
::1 - - [19/Nov/2014:17:44:21 +0100] "GET /project/cities-data.txt HTTP/1.1" 304 -
::1 - - [19/Nov/2014:17:44:26 +0100] "GET /project/bar_test.html HTTP/1.1" 200 1437
::1 - - [19/Nov/2014:17:44:28 +0100] "GET /project/bars.html HTTP/1.1" 200 5391
::1 - - [19/Nov/2014:17:46:16 +0100] "GET /project/click_test.html HTTP/1.1" 200 4549
::1 - - [19/Nov/2014:17:46:16 +0100] "GET /project/click_test.html HTTP/1.1" 304 -
::1 - - [19/Nov/2014:17:46:50 +0100] "GET /project/click_test.html HTTP/1.1" 200 4546
